Burlington - Stowe, 3*, Williston, Courtyard, 22.0%
Toronto, 3.5*, Dowtown, Delta Chelsea, 100.0%
Toronto, 2*, Mississauga, Super 8, 21.7%
Toronto, 2*, Mississauga, Fairfield Inn, 78.3%
Toronto, 3*, Mississauga, Four Points, 28.8%
Toronto, 3*, Mississauga, Delta Meadowvale, 4.3%
Toronto, 3*, Mississauga, Holiday Inn, 48.4%
Toronto, 3*, Mississauga, Courtyard, 18.6%
Toronto, 3*, Markham, Courtyard, 16.3%
Toronto, 3*, Markham, Marriot, 5.6%
Toronto, 3*, Markham, Sheraton, 5.2%
Toronto, 3*, Markham, Holiday Inn, 43.8%
Toronto, 3*, Markham, Staybridge Suites, 9.4%
Toronto, 3*, Markham, Residence Inn, 19.8%
Toronto, 3.5*, Markham, Sheraton, 100.0%
Toronto, 2.5*, Mississauga, Residence Inn, 22.4%
Toronto, 2.5*, Mississauga, Courtyard, 77.6%
Toronto, 2.5*, Markham, Courtyard, 42.5%
Toronto, 2.5*, Markham, Residence Inn, 57.5%
Toronto, 2*, Markham, Howard Johnson, 100.0%
Toronto, 2*, Scarborough - Pickering, Comfort Inn, 62.0%
Toronto, 2*, Scarborough - Pickering, Travelodge, 38.0%
Vancouver, 2*, Airport YVZ, Comfort Inn, 100.0%
Vancouver, 3*, Coquiltam-Burnaby, Inn at Westminster Quay, 63.0%
Vancouver, 3*, Coquiltam-Burnaby, Hilton, 37.0%
Vancouver, 2*, Coquiltam-Burnaby, Ramada, 100.0%
Tampa, 3*, East - Fairgrounds, Hilton, 100.0%
Tampa, 3*, North, Courtyard, 25.9%
Tampa, 3*, North, Hilton, 74.1%
Tacoma, 2*, Puyallup, Best Western, 100.0%
Tallahassee, 3*, South, Doubletree, 51.8%
Tallahassee, 3*, South, Courtyard, 36.8%
Tallahassee, 3*, South, Residence Inn, 11.4%
Syracuse, 3.5*, Univesersity, Crowne Plaza, 16.4%
Syracuse, 3.5*, Univesersity, Genesee Grande Hotel, 27.8%
Syracuse, 3.5*, Univesersity, Renaissance, 55.8%
State College, 3*, South, Residence Inn, 49.4%
State College, 3*, South, The Atherton, 50.6%
Sydney, 5*, City Centre, Hilton, 9.0%
Sydney, 5*, City Centre, Sofitel, 17.8%
Sydney, 5*, City Centre, Marriot, 73.1%
Sydney, 4*, City Centre, Marriot, 100.0%
Stuttgart, 4*, Center, Maritim Hotel, 100.0%
St. Louis, 3*, Westport, Doubletree, 48.8%
St. Louis, 3*, Westport, Sheraton, 16.8%
St. Louis, 3*, Westport, Courtyard, 34.4%
Spokane, 3*, Spokane Valley, Mirabeau Park Hotel, 100.0%
St. Louis, 3.5*, Westport, Marriot, 13.2%
St. Louis, 3.5*, Westport, Sheraton, 86.8%
St Catharines-Niagara, 2.5*, Welland, Best Western, 100.0%
Springfield, 2.5*, Springfield-West, Holiday Inn, 100.0%
Smrst-Brunswick, 3*, Somerset-Piscataway, Marriot, 100.0%
St Catharines-Niagara, 2*, Welland, Comfort Inn, 100.0%
Springfield, 3.5*, Springfield-West, Marriot, 86.3%
Springfield, 3.5*, Springfield-West, Sheraton, 13.7%
Springfield, 3*, Springfield-West, Sheraton, 100.0%
Spokane, 2.5*, Spokane Valley, Holiday Inn, 100.0%
South Bend, 3*, Mishawaka-Granger, Hyatt, 100.0%
St Petersburg, 3.5*, St. Ptrsbrg, Renaissance, 26.1%
St Petersburg, 3.5*, St. Ptrsbrg, Hilton, 73.9%
St Petersburg, 4*, St. Ptrsbrg, Renaissance, 100.0%
St Petersburg, 3*, St. Ptrsbrg, Hilton, 29.3%
St Petersburg, 3*, St. Ptrsbrg, Marriot, 42.2%
St Petersburg, 3*, St. Ptrsbrg, Hotel Indigo St Petrsbrg, 28.5%
St. Louis, 2*, Westport, Homestead Studio Suites, 100.0%
St. Louis, 2.5*, Westport, Hampton Inn, 39.8%
St. Louis, 2.5*, Westport, Courtyard, 60.2%
Stockton-Modesto, 2*, Tracy, Extended StayAmerica, 100.0%
Sydney, 3*, City Centre, Holiday Inn, 100.0%
Syracuse, 3*, Univesersity, The Marx Hotel, 7.9%
Syracuse, 3*, Univesersity, Renaissance, 56.0%
Syracuse, 3*, Univesersity, Parkview, 36.1%
Tampa, 2.5*, North, Holiday Inn, 57.4%
Tampa, 2.5*, North, Hilton, 42.6%
Tallahassee, 2.5*, South, Courtyard, 48.4%
Tallahassee, 2.5*, South, Holiday Inn, 51.6%
Tampa, 2.5*, East - Fairgrounds, Hilton, 100.0%
Tampa, 2*, North, Extended StayAmerica, 49.7%
Tampa, 2*, North, Fairfield Inn, 50.3%
Somerset, 3.5*, Somerville-Bridgewater, Marriot, 100.0%
Somerset, 3*, Somerset, Doubletree, 9.4%
Somerset, 3*, Somerset, Marriot, 8.7%
Somerset, 3*, Somerset, Crowne Plaza, 18.9%
Somerset, 3*, Somerset, Holiday Inn, 63.1%
Somerset, 3.5*, Piscataway, Crowne Plaza, 100.0%
Somerset, 2.5*, Basking Ridge, Courtyard, 100.0%
Somerset, 3.5*, Clark-Westfield, Crowne Plaza, 100.0%
Somerset, 3.5*, Edison, Hyatt, 55.2%
Somerset, 3.5*, Edison, Sheraton, 44.8%
Spokane, 3*, Downtown, Holiday Inn, 4.5%
Spokane, 3*, Downtown, DoubleTree, 23.1%
Spokane, 3*, Downtown, Courtyard, 10.0%
Spokane, 3*, Downtown, Red Lion Hotel At The Park, 62.4%
Spokane, 3*, Airport GEG, Ramada, 100.0%
Springfield, 2*, South, Sleep Inn, 16.0%
Springfield, 2*, South, Best Western, 14.1%
Springfield, 2*, South, Fairfield Inn, 16.5%
Springfield, 2*, South, Extended StayAmerica, 53.3%
Springfield, 3*, Northwest, Holiday Inn, 100.0%
Springfield, 3*, Northampton-Hadley-Amherst, Courtyard, 100.0%
Springfield, 3*, Holyoke, Holiday Inn, 100.0%
St. Augustine, 2.5*, Northwest, Courtyard, 100.0%
Springfield, 2*, Central, Best Western, 100.0%
Springfield, 2*, Airport, Ramada, 100.0%
St Catharines-Niagara, 3*, St Catharaines-Thorold, Four Points, 55.9%
St Catharines-Niagara, 3*, St Catharaines-Thorold, Holiday Inn, 44.1%
St Catharines-Niagara, 2.5*, St Catharaines-Thorold, Four Points, 100.0%
St Catharines-Niagara, 2*, St Catharaines-Thorold, Comfort Inn, 100.0%
Somerset, 3.5*, Woodbridge, Sheraton, 100.0%
Springfield, 2.5*, Holyoke, Country Inn, 100.0%
Somerset, 3*, Woodbridge, Indigo Skyview Rahway, 20.3%
Somerset, 3*, Woodbridge, Sheraton, 79.7%
Somerset, 2.5*, Woodbridge, Courtyard, 100.0%
Somerset, 2*, Woodbridge, Best Western, 63.9%
Somerset, 2*, Woodbridge, Homestead Suites, 36.1%
Springfield, 2*, Northampton-Hadley-Amherst, Autumn Inn, 100.0%
Spokane, 2.5*, Airport GEG, Ramada, 100.0%
Springfield, 2*, Northwest, Holiday Inn, 100.0%
Spokane, 2.5*, Downtown, Holiday Inn, 100.0%
Spokane, 2*, Downtown, Howard Johnson, 100.0%
Somerset, 3*, Edison, Indigo Skyview Rahway, 14.8%
Somerset, 3*, Edison, Hilton, 38.3%
Somerset, 3*, Edison, Sheraton, 46.9%
Somerset, 2.5*, Clinton-Lebanon, Courtyard, 100.0%
Somerset, 2*, Edison, Best Western, 63.9%
Somerset, 2*, Edison, Homestead Suites, 36.1%
Somerset, 1*, Edison, Howard Johnson, 100.0%
Somerset, 3*, Piscataway, Staybridge Suites, 12.4%
Somerset, 3*, Piscataway, Crowne Plaza, 20.4%
Somerset, 3*, Piscataway, Holiday Inn, 44.8%
Somerset, 3*, Piscataway, Marriot, 12.3%
Somerset, 3*, Piscataway, Doubletree, 10.2%
Somerset, 2.5*, Piscataway, Staybridge, 100.0%
Somerset, 2*, Piscataway, Extended StayAmerica, 100.0%
Somerset, 3*, Somerville-Bridgewater, Summerfield Suites, 38.5%
Somerset, 3*, Somerville-Bridgewater, Marriot, 61.5%
Somerset, 2.5*, Somerset, Staybridge, 100.0%
St. Augustine, 3*, Historic District, Holiday Inn, 100.0%
St Petersburg, 4*, Clearwater, Hyatt, 100.0%
St Catharines-Niagara, 2*, North, Best Western, 100.0%
St Catharines-Niagara, 4*, Niagara, Doubletree, 10.4%
St Catharines-Niagara, 4*, Niagara, Renaissance, 12.8%
St Catharines-Niagara, 4*, Niagara, Sheraton, 23.7%
St Catharines-Niagara, 4*, Niagara, Marriot, 53.0%
St Petersburg, 4*, St Petersburg Beach-Treasure Island, Don Cesar, 4.7%
St Petersburg, 4*, St Petersburg Beach-Treasure Island, Renaissance, 23.7%
St Petersburg, 4*, St Petersburg Beach-Treasure Island, Tradewinds IG, 64.5%
St Petersburg, 4*, St Petersburg Beach-Treasure Island, Hyatt, 7.1%
St Petersburg, 3*, North Clwtr-Safety Harbor, Holiday Inn, 100.0%
St. Louis, 3.5*, West, Marriot, 100.0%
St. Louis, 3*, Fenton-Kirkwood, Holiday Inn, 100.0%
St. Louis, 3*, South, Holiday Inn, 100.0%
St. Louis, 2.5*, Saint Charles-Saint Peters, Country Inn and Suites, 60.9%
St. Louis, 2.5*, Saint Charles-Saint Peters, Holiday Inn, 39.1%
Springfield, 2.5*, Northampton-Hadley-Amherst, Clarion Northampton, 100.0%
St. Louis, 4*, Clayton-Forest Park, Moonrise Hotel, 100.0%
St. Louis, 4*, Downtown, Westin, 1.7%
St. Louis, 4*, Downtown, Hilton, 14.0%
St. Louis, 4*, Downtown, Renaissance, 4.9%
St. Louis, 4*, Downtown, Marriot, 16.2%
St. Louis, 4*, Downtown, Hyatt, 63.2%
St. Louis, 3.5*, Airport STL, Marriot, 31.9%
St. Louis, 3.5*, Airport STL, Hilton, 46.8%
St. Louis, 3.5*, Airport STL, Renaissance, 21.3%
St. Louis, 3.5*, West-Chesterfield, Marriot, 58.2%
St. Louis, 3.5*, West-Chesterfield, Doubletree, 41.8%
Stockton-Modesto, 2.5*, Modesto-Salida, Fairfield Inn, 100.0%
Stockton-Modesto, 3*, Stockton, Lexington Plaza Waterfront Hotel, 28.1%
Stockton-Modesto, 3*, Stockton, Hilton, 71.9%
Somerset, 3*, Clinton-Lebanon, Holiday Inn, 100.0%
Stockton-Modesto, 2.5*, Stockton, Courtyard, 100.0%
Stockton-Modesto, 2*, Modesto-Salida, Ramada, 100.0%
St. Louis, 3*, Airport STL, Courtyard, 21.5%
St. Louis, 3*, Airport STL, Embassy Suites, 13.8%
St. Louis, 3*, Airport STL, Hilton, 37.1%
St. Louis, 3*, Airport STL, Renaissance, 10.4%
St. Louis, 3*, Airport STL, Holiday Inn, 17.3%
Stockton-Modesto, 2*, Stockton, Extended StayAmerica, 100.0%
St. Louis, 2.5*, Airport STL, Ramada, 61.5%
St. Louis, 2.5*, Airport STL, Radisson, 38.5%
St. Louis, 2*, Airport STL, Studio Plus Earth City, 53.2%
St. Louis, 2*, Airport STL, Homestead Suites, 46.8%
St. Louis, 3.5*, Clayton-Forest Park, Crowne Plaza, 16.4%
St. Louis, 3.5*, Clayton-Forest Park, Sheraton, 83.6%
St. Louis, 3*, Clayton-Forest Park, Residence Inn, 8.0%
St. Louis, 3*, Clayton-Forest Park, Crown Plaza, 5.2%
St. Louis, 3*, Clayton-Forest Park, Crowne Plaza, 40.7%
St. Louis, 3*, Clayton-Forest Park, Hotel Indigo, 4.9%
St. Louis, 3*, Clayton-Forest Park, Sheraton, 41.2%
St. Louis, 2*, Fenton-Kirkwood, Fairfield Inn, 100.0%
St. Louis, 3*, Downtown, Millenium, 17.4%
St. Louis, 3*, Downtown, Sheraton, 12.1%
St. Louis, 3*, Downtown, Courtyard, 17.2%
St. Louis, 3*, Downtown, Adams Mark, 6.9%
St. Louis, 3*, Downtown, Mayfair Wyndham, 6.6%
St. Louis, 3*, Downtown, Holiday Inn, 10.1%
St. Louis, 3*, Downtown, Hyatt, 29.7%
St. Louis, 2.5*, Clayton-Forest Park, Holiday Inn, 25.9%
St. Louis, 2.5*, Clayton-Forest Park, Residence Inn, 74.1%
St. Louis, 2.5*, Fenton-Kirkwood, Fairfield Inn, 100.0%
St. Louis, 3.5*, Downtown, Crowne Plaza, 42.5%
St. Louis, 3.5*, Downtown, Hyatt, 24.1%
St. Louis, 3.5*, Downtown, Hilton, 18.4%
St. Louis, 3.5*, Downtown, Sheraton, 14.9%
St. Louis, 2*, Saint Charles-Saint Peters, St Peters Hotel, 100.0%
St. Louis, 3*, West-Chesterfield, Doubletree, 31.0%
St. Louis, 3*, West-Chesterfield, Marriot, 69.0%
St. Louis, 2.5*, West-Chesterfield, Hilton, 100.0%
St Petersburg, 3.5*, Clearwater, Marriot, 100.0%
St Petersburg, 2.5*, Clearwater, Radisson, 100.0%
St Petersburg, 3*, Clearwater, Marriot, 11.6%
St Petersburg, 3*, Clearwater, Holiday Inn, 59.5%
St Petersburg, 3*, Clearwater, Courtyard, 16.0%
St Petersburg, 3*, Clearwater, Residence Inn, 12.9%
St Petersburg, 3.5*, St Petersburg Beach-Treasure Island, Renaissance, 14.5%
St Petersburg, 3.5*, St Petersburg Beach-Treasure Island, Hilton, 41.1%
St Petersburg, 3.5*, St Petersburg Beach-Treasure Island, Marriot, 44.4%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Grand Plaza Hotel, 6.9%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Tradewinds Sandpiper, 24.3%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Sirata Rst, 4.0%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Hilton, 7.8%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Postcard Inn, 15.5%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Hotel Indigo St Petersburg, 6.9%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Marriot, 14.3%
St Petersburg, 3*, St Petersburg Beach-Treasure Island, Holiday Inn, 20.4%
St Petersburg, 2*, Clearwater, Extended StayAmierca, 16.4%
St Petersburg, 2*, Clearwater, Homestead Suites, 42.1%
St Petersburg, 2*, Clearwater, La Quinta, 14.1%
St Petersburg, 2*, Clearwater, Days Inn, 27.5%
St Petersburg, 2*, St Petersburg Beach-Treasure Island, Extended StayAmerica, 100.0%
St. Augustine, 2*, Historic District, Ramada, 100.0%
St Catharines-Niagara, 2*, Niagara, Ramada, 33.7%
St Catharines-Niagara, 2*, Niagara, Quality Hotel Conference Cntr, 66.3%
St Catharines-Niagara, 3*, Niagara, Holiday Inn, 35.5%
St Catharines-Niagara, 3*, Niagara, Crowne Plaza, 15.7%
St Catharines-Niagara, 3*, Niagara, Courtyard, 23.1%
St Catharines-Niagara, 3*, Niagara, Brock Plaza Hotel, 7.5%
St Catharines-Niagara, 3*, Niagara, Four Points, 18.1%
State College, 2.5*, North, Holiday Inn, 100.0%
Syracuse, 3*, East??, Wyndham Syracuse, 8.1%
Syracuse, 3*, East??, Courtyard, 26.3%
Syracuse, 3*, East??, Double Tree, 65.6%
Syracuse, 2*, North, Doubletree, 100.0%
Syracuse, 3*, East, Doubletree, 69.2%
Syracuse, 3*, East, Courtyard, 23.5%
Syracuse, 3*, East, Wyndham Syracuse, 7.3%
Tacoma, 2.5*, Lakewood-Tacoma South, Red Lion, 100.0%
Tacoma, 3*, Olympia, Red Lion, 100.0%
Syracuse, 2.5*, Airport SYR, Best Western, 100.0%
Tacoma, 3*, Auburn-Federal Way, Clarion Federal Way, 100.0%
Tallahassee, 2.5*, East, Staybridge Suites, 100.0%
Tallahassee, 2*, North, Comfort Inn, 100.0%
Tallahassee, 3*, North, Holiday Inn, 100.0%
Tampa, 3*, Brandon, Courtyard, 100.0%
Tampa, 4*, Airport TPA-Weststshore, Westin, 18.9%
Tampa, 4*, Airport TPA-Weststshore, Inter-Continetnal, 34.1%
Tampa, 4*, Airport TPA-Weststshore, Hyatt, 46.9%
Tampa, 2*, Brandon, Homestead Suites, 100.0%
Tampa, 3*, Airport TPA-Weststshore, Marriot, 7.8%
Tampa, 3*, Airport TPA-Weststshore, Hyatt, 37.8%
Tampa, 3*, Airport TPA-Weststshore, Radisson, 19.2%
Tampa, 3*, Airport TPA-Weststshore, Sheraton, 3.8%
Tampa, 3*, Airport TPA-Weststshore, Doubletree, 31.4%
Tampa, 2.5*, Airport TPA-Weststshore, Hyatt, 100.0%
Tampa, 2*, Airport TPA-Weststshore, Extended StayAmerica, 58.9%
Tampa, 2*, Airport TPA-Weststshore, Homestead Suites North Airport, 41.1%
Tampa, 3*, Busch Gardens, Hyatt, 55.3%
Tampa, 3*, Busch Gardens, Grand Suites, 6.9%
Tampa, 3*, Busch Gardens, Doubletree, 8.7%
Tampa, 3*, Busch Gardens, Holiday Inn, 29.1%
Tampa, 2.5*, Busch Gardens, Hyatt, 100.0%
Tampa, 2.5*, Downtown, Residence Inn, 100.0%
Tampa, 2*, Busch Gardens, Days Inn, 100.0%
Tampa, 3*, Downtown, Courtyard, 23.2%
Tampa, 3*, Downtown, Hyatt, 35.8%
Tampa, 3*, Downtown, Sheraton, 41.0%
Shreveport, 2.5*, Airport SHV, Holiday Inn, 100.0%
Singapore, 4*, Riverside, Holiday Inn, 100.0%
Shreveport, 2*, Airport SHV, Holiday Inn, 55.0%
Shreveport, 2*, Airport SHV, Jameson Inn Shreveport, 45.0%
Shanghai, 5*, Huangpu, Le Royal Meridien, 6.6%
Shanghai, 5*, Huangpu, JW Marriot, 23.7%
Shanghai, 5*, Huangpu, Hilton, 69.7%
Singapore, 5*, City Hall-Marina Bay, Conrad Centennial Singapore, 58.8%
Singapore, 5*, City Hall-Marina Bay, Conrad Singapore, 41.2%
Shanghai, 4*, Huangpu, The Seagull on the Bund, 100.0%
Shanghai, 4*, Changning, Courtyard, 100.0%
Singapore, 5*, Orchard, Hilton, 66.0%
Singapore, 5*, Orchard, Marriot, 34.0%
Seoul, 4*, Gangnam-Seouchu, Renaissance, 100.0%
Tampa, 2*, Downtown, Hampton Inn, 100.0%
Tacoma, 2*, Auburn-Federal Way, Extended StayAmerica, 100.0%
Syracuse, 2*, Airport SYR, Best Western, 100.0%
Syracuse, 2*, East??, Quality Inn, 100.0%
Tacoma, 2*, Olympia, Extended StayAmerica, 100.0%
Tacoma, 2.5*, Olympia, Guesthouse International Inn and Suites, 49.1%
Tacoma, 2.5*, Olympia, Guesthouse Inn and Suites Tumwater, 50.9%
Syracuse, 2*, East, Quality Inn, 100.0%
State College, 2*, North, Springhill Suites, 32.9%
State College, 2*, North, Toftrees Resort and Conference Center, 32.9%
State College, 2*, North, Fairfield Inn, 34.2%
Tampa, 3.5*, Downtown, ???, 2.1%
Tampa, 3.5*, Downtown, Westin, 9.6%
Tampa, 3.5*, Downtown, Hyatt, 64.0%
Tampa, 3.5*, Downtown, Sheraton, 24.4%
Tampa, 3.5*, Airport TPA-Weststshore, Quorom, 5.9%
Tampa, 3.5*, Airport TPA-Weststshore, Marriot, 15.2%
Tampa, 3.5*, Airport TPA-Weststshore, Sheraton, 13.0%
Tampa, 3.5*, Airport TPA-Weststshore, Doubletree, 39.5%
Tampa, 3.5*, Airport TPA-Weststshore, Quorum, 10.6%
Tampa, 3.5*, Airport TPA-Weststshore, Crowne Plaza, 15.9%
Seattle, 3*, Universiety of WA-Northgate, Silver Cloud University, 100.0%
Sarasota, 2.5*, Venice, Fairfield Inn, 100.0%
Savannah, 2.5*, Savannah North, Inn at Mulberry Grove, 100.0%
Savannah, 2.5*, North, Hampton Inn, 100.0%
Scottsdale, 4*, Phoenix, Hilton, 100.0%
Santa Cruz, 4*, Santa Cruz-Scotts Valley, Chaminade Resort and Spa, 100.0%
Santa Fe, 4*, Plaza Vicinity, La Posada De Santa Fe Resort and Spa, 100.0%
Sandusky, 2*, Sandusky-Huron, Quality Inn, 79.4%
Sandusky, 2*, Sandusky-Huron, All-American Inn, 20.6%
Santa Barbara, 2.5*, Goleta, Holiday Inn, 100.0%
Santa Barbara, 2*, Solvang-Santa Ynez Valley, Best Western, 100.0%
San Juan, 4*, Rio Grande, Gran Melia, 100.0%
San Jose, 4*, Sunnyvale - Santa Clara, FAIL, 2.3%
San Jose, 4*, Sunnyvale - Santa Clara, Hyatt, 40.4%
San Jose, 4*, Sunnyvale - Santa Clara, Hilton, 57.3%
Salem NH-Andover MA, 3*, Billerica - Tewksbury, Radisson, 7.7%
Salem NH-Andover MA, 3*, Billerica - Tewksbury, Courtyard, 34.4%
Salem NH-Andover MA, 3*, Billerica - Tewksbury, Holiday Inn, 28.2%
Salem NH-Andover MA, 3*, Billerica - Tewksbury, Doubletree, 29.7%
San Francisco, 4*, Union Square, Hyatt, 13.3%
San Francisco, 4*, Union Square, Westin, 65.9%
San Francisco, 4*, Union Square, Hilton, 20.8%
San Diego, 3*, Sorrento Mesa, Country Inns and Suites, 57.0%
San Diego, 3*, Sorrento Mesa, Courtyard, 8.8%
San Diego, 3*, Sorrento Mesa, Woodfin Hotel, 19.5%
San Diego, 3*, Sorrento Mesa, Staybridge Suites Sorrento Mesa, 14.6%
San Antonio, 3.5*, airport, Hilton, 32.4%
San Antonio, 3.5*, airport, Crowne Plaza, 12.9%
San Antonio, 3.5*, airport, Doubletree, 40.4%
San Antonio, 3.5*, airport, Embassy Suites, 14.3%
Salt Lake City, 3*, Sandy-South Valley-Draper, La Quinta, 26.9%
Salt Lake City, 3*, Sandy-South Valley-Draper, Residence Inn, 26.9%
Salt Lake City, 3*, Sandy-South Valley-Draper, Courtyard, 46.3%
Salt Lake City, 2.5*, Sandy-South Valley-Draper, Holiday Inn, 58.6%
Salt Lake City, 2.5*, Sandy-South Valley-Draper, Country Inn and Suites, 41.4%
Salt Lake City, 2*, Sandy-South Valley-Draper, Ramada, 30.4%
Salt Lake City, 2*, Sandy-South Valley-Draper, Days Inn, 30.0%
Salt Lake City, 2*, Sandy-South Valley-Draper, Holiday Inn, 20.8%
Salt Lake City, 2*, Sandy-South Valley-Draper, Extended StayAmerica, 18.9%
San Diego, 2.5*, Sorrento Mesa, Country Inn &amp; Suite, 79.6%
San Diego, 2.5*, Sorrento Mesa, Holiday Inn, 20.4%
San Antonio, 2.5*, airport, Fairfield Inn, 36.1%
San Antonio, 2.5*, airport, Holiday Inn, 43.3%
San Antonio, 2.5*, airport, Courtyard, 13.3%
San Antonio, 2.5*, airport, Cambria Suites, 7.3%
San Diego, 2*, Sorrento Mesa, Holiday Inn, 100.0%
Salem NH-Andover MA, 2.5*, Billerica - Tewksbury, Holiday Inn, 100.0%
San Antonio, 3*, airport, Crowne Plaza, 7.0%
San Antonio, 3*, airport, Courtyard, 14.7%
San Antonio, 3*, airport, Aloft, 6.9%
San Antonio, 3*, airport, Doubletree, 12.4%
San Antonio, 3*, airport, Hilton, 31.3%
San Antonio, 3*, airport, Holiday Inn, 14.7%
San Antonio, 3*, airport, Hyatt, 12.9%
Salem NH-Andover MA, 2*, Billerica - Tewksbury, Extended StayAmerica, 100.0%
San Jose, 3.5*, Sunnyvale - Santa Clara, Sheraton, 100.0%
San Jose, 3*, Sunnyvale - Santa Clara, Marriot, 10.8%
San Jose, 3*, Sunnyvale - Santa Clara, Residence Inn, 53.7%
San Jose, 3*, Sunnyvale - Santa Clara, Biltmore Hotel And Suites, 35.5%
Santa Fe, 2*, Plaza Vicinity, Garretts Desert Inn, 45.2%
Santa Fe, 2*, Plaza Vicinity, Sage Inn, 54.8%
San Jose, 2.5*, Sunnyvale - Santa Clara, Holiday Inn, 11.1%
San Jose, 2.5*, Sunnyvale - Santa Clara, Country Inn and Suites Sunnyvale, 88.9%
Santa Fe, 3.5*, Plaza Vicinity, Inn of the Governors, 44.2%
Santa Fe, 3.5*, Plaza Vicinity, Hilton, 55.8%
Santa Cruz, 3*, Santa Cruz-Scotts Valley, Hilton, 100.0%
Savannah, 2*, North, Savannah Inn, 100.0%
Seattle, 2*, Universiety of WA-Northgate, Extended StayAmerica, 100.0%
Seattle, 2.5*, Universiety of WA-Northgate, Holiday Inn, 100.0%
Salt Lake City, 3*, Downtown and University, Red Lion, 26.8%
Salt Lake City, 3*, Downtown and University, Marriot, 20.0%
Salt Lake City, 3*, Downtown and University, Salt Lake Plaza Hotel, 11.1%
Salt Lake City, 3*, Downtown and University, Sheraton, 29.9%
Salt Lake City, 3*, Downtown and University, Radisson, 12.1%
Salt Lake City, 2.5*, North, Country Inn and Suites Bountiful, 100.0%
Scranton, 2.5*, Wilkes Barre, Holiday Inn, 34.1%
Scranton, 2.5*, Wilkes Barre, Best Western, 65.9%
Salt Lake City, 3*, Airport SLC, Courtyard, 36.9%
Salt Lake City, 3*, Airport SLC, Residence Inn, 33.3%
Salt Lake City, 3*, Airport SLC, Hilton, 9.0%
Salt Lake City, 3*, Airport SLC, Hyatt, 20.8%
San Diego, 3.5*, Rancho Bernardo, Rancho Bernardo Inn, 17.1%
San Diego, 3.5*, Rancho Bernardo, Hilton, 48.9%
San Diego, 3.5*, Rancho Bernardo, Marriot, 34.0%
San Diego, 4*, North County Coastal, Estancia La Jolla Hotel And Spa, 5.1%
San Diego, 4*, North County Coastal, Sheraton, 4.4%
San Diego, 4*, North County Coastal, Hilton, 35.1%
San Diego, 4*, North County Coastal, Hyatt, 45.4%
San Diego, 4*, North County Coastal, Paradise Point Resort And Spa, 10.0%
San Diego, 4*, Mission Valley, Hyatt, 100.0%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Se San Diego, 0.9%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Hotel Salomar, 0.7%
San Diego, 4*, Point Loma-Shelter Island-Old Town, W Hotel, 1.7%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Westgate Hotel, 1.5%
San Diego, 4*, Point Loma-Shelter Island-Old Town, W San Diego, 1.4%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Solamar, 1.4%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Hyatt, 1.8%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Hilton, 26.7%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Omni, 4.7%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Westin, 9.3%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Andaz, 2.1%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Marriot, 9.6%
San Diego, 4*, Point Loma-Shelter Island-Old Town, Sheraton, 38.3%
San Diego, 3*, Escondido, Lake San Marcos Resort, 100.0%
San Diego, 4*, Gaslamp Quarter, Marriot, 47.1%
San Diego, 4*, Gaslamp Quarter, Hilton, 52.9%
San Diego, 4*, Downtown-HI, Solamar, 3.1%
San Diego, 4*, Downtown-HI, Andaz, 4.6%
San Diego, 4*, Downtown-HI, W San Diego Hotel, 3.2%
San Diego, 4*, Downtown-HI, Se San Diego, 1.9%
San Diego, 4*, Downtown-HI, Westgate Hotel, 4.3%
San Diego, 4*, Downtown-HI, Omni, 10.6%
San Diego, 4*, Downtown-HI, Sheraton, 7.8%
San Diego, 4*, Downtown-HI, Hyatt, 8.0%
San Diego, 4*, Downtown-HI, W Hotel, 3.8%
San Diego, 4*, Downtown-HI, Marriot, 15.6%
San Diego, 4*, Downtown-HI, Hilton, 15.4%
San Diego, 4*, Downtown-HI, Hotel Solamar, 1.6%
San Diego, 4*, Downtown-HI, Westin, 20.0%
San Diego, 3.5*, Mission Valley, Marriot, 45.5%
San Diego, 3.5*, Mission Valley, Doubletree, 26.7%
San Diego, 3.5*, Mission Valley, Hilton, 27.8%
San Diego, 3.5*, Del Mar, Marriot, 41.0%
San Diego, 3.5*, Del Mar, Hilton, 59.0%
San Diego, 4*, Costal, Estancia La Jolla Hotel and Spa, 3.7%
San Diego, 4*, Costal, Hilton, 49.9%
San Diego, 4*, Costal, Paradise Pointe, 7.3%
San Diego, 4*, Costal, Hyatt, 39.1%
San Diego, 3.5*, Costal, Marriot, 61.0%
